data,produto,categoria,quantidade_produzida,quantidade_vendida,quantidade_descartada,motivo_descarte
19/03/2025,Trufa de Maracujá,Doces,31,26,5,
19/03/2025,Trufa de Morango,Doces,16,14,2,Qualidade
19/03/2025,Coxinha,Salgados,19,13,6,
20/03/2025,Bolo de Chocolate,Bolos,16,16,0,
20/03/2025,Bolo de Cenoura,Bolos,30,28,2,Excedente
20/03/2025,Bolo Red Velvet,Bolos,29,22,7,Excedente
20/03/2025,Brigadeiro,Doces,29,18,11,Validade
20/03/2025,Brigadeiro Gourmet,Doces,29,19,10,Qualidade
20/03/2025,Trufa de Maracujá,Doces,40,31,9,Excedente
20/03/2025,Trufa de Morango,Doces,21,20,1,Excedente
20/03/2025,Coxinha,Salgados,24,16,8,Qualidade
21/03/2025,Bolo de Chocolate,Bolos,18,16,2,Qualidade
21/03/2025,Bolo de Cenoura,Bolos,30,26,4,Validade
21/03/2025,Bolo Red Velvet,Bolos,38,35,3,Validade
21/03/2025,Brigadeiro,Doces,31,27,4,Validade
21/03/2025,Brigadeiro Gourmet,Doces,21,17,4,
21/03/2025,Trufa de Maracujá,Doces,21,15,6,Validade
21/03/2025,Trufa de Morango,Doces,32,29,3,Qualidade
21/03/2025,Coxinha,Salgados,28,22,6,Validade
24/03/2025,Bolo de Chocolate,Bolos,18,10,8,Excedente
24/03/2025,Bolo de Cenoura,Bolos,12,10,2,
24/03/2025,Bolo Red Velvet,Bolos,28,21,7,Qualidade
24/03/2025,Brigadeiro,Doces,30,18,12,Qualidade
24/03/2025,Brigadeiro Gourmet,Doces,24,23,1,Validade
24/03/2025,Trufa de Maracujá,Doces,18,15,3,Excedente
24/03/2025,Trufa de Morango,Doces,39,25,14,Validade
24/03/2025,Coxinha,Salgados,27,25,2,Validade
25/03/2025,Bolo de Chocolate,Bolos,25,25,0,
25/03/2025,Bolo de Cenoura,Bolos,15,13,2,Excedente
25/03/2025,Bolo Red Velvet,Bolos,20,20,0,
25/03/2025,Brigadeiro,Doces,19,19,0,
25/03/2025,Brigadeiro Gourmet,Doces,33,26,7,Excedente
25/03/2025,Trufa de Maracujá,Doces,28,20,8,Validade
25/03/2025,Trufa de Morango,Doces,36,22,14,Qualidade
25/03/2025,Coxinha,Salgados,23,15,8,
26/03/2025,Bolo de Chocolate,Bolos,21,20,1,Validade
26/03/2025,Bolo de Cenoura,Bolos,38,37,1,Qualidade
26/03/2025,Bolo Red Velvet,Bolos,10,6,4,Validade
26/03/2025,Brigadeiro,Doces,21,19,2,Validade
26/03/2025,Brigadeiro Gourmet,Doces,12,11,1,
26/03/2025,Trufa de Maracujá,Doces,19,14,5,Excedente
26/03/2025,Trufa de Morango,Doces,24,19,5,Qualidade
26/03/2025,Coxinha,Salgados,31,27,4,Qualidade
27/03/2025,Bolo de Chocolate,Bolos,20,17,3,Excedente
27/03/2025,Bolo de Cenoura,Bolos,37,35,2,Validade
27/03/2025,Bolo Red Velvet,Bolos,32,30,2,Excedente
27/03/2025,Brigadeiro,Doces,23,22,1,Validade
27/03/2025,Brigadeiro Gourmet,Doces,10,6,4,Excedente
27/03/2025,Trufa de Maracujá,Doces,32,29,3,Validade
27/03/2025,Trufa de Morango,Doces,14,14,0,
27/03/2025,Coxinha,Salgados,16,15,1,Qualidade
28/03/2025,Bolo de Chocolate,Bolos,18,12,6,Excedente
28/03/2025,Bolo de Cenoura,Bolos,29,27,2,Excedente
28/03/2025,Bolo Red Velvet,Bolos,35,28,7,Validade
28/03/2025,Brigadeiro,Doces,10,7,3,Excedente
28/03/2025,Brigadeiro Gourmet,Doces,13,11,2,Validade
28/03/2025,Trufa de Maracujá,Doces,22,20,2,Qualidade
28/03/2025,Trufa de Morango,Doces,19,15,4,
28/03/2025,Coxinha,Salgados,11,10,1,Excedente
31/03/2025,Bolo de Chocolate,Bolos,35,28,7,
31/03/2025,Bolo de Cenoura,Bolos,38,27,11,Excedente
31/03/2025,Bolo Red Velvet,Bolos,27,23,4,
31/03/2025,Brigadeiro,Doces,19,18,1,
31/03/2025,Brigadeiro Gourmet,Doces,17,10,7,Qualidade
31/03/2025,Trufa de Maracujá,Doces,20,19,1,Qualidade
31/03/2025,Trufa de Morango,Doces,31,26,5,Validade
31/03/2025,Coxinha,Salgados,40,27,13,Validade
01/04/2025,Bolo de Chocolate,Bolos,11,11,0,
01/04/2025,Bolo de Cenoura,Bolos,32,32,0,
01/04/2025,Bolo Red Velvet,Bolos,23,16,7,Excedente
01/04/2025,Brigadeiro,Doces,30,25,5,Excedente
01/04/2025,Brigadeiro Gourmet,Doces,30,30,0,
01/04/2025,Trufa de Maracujá,Doces,31,19,12,Validade
01/04/2025,Trufa de Morango,Doces,36,29,7,Qualidade
01/04/2025,Coxinha,Salgados,11,11,0,
02/04/2025,Bolo de Chocolate,Bolos,14,9,5,Qualidade
02/04/2025,Bolo de Cenoura,Bolos,10,8,2,
02/04/2025,Bolo Red Velvet,Bolos,38,33,5,
02/04/2025,Brigadeiro,Doces,17,13,4,
02/04/2025,Brigadeiro Gourmet,Doces,27,26,1,Qualidade
02/04/2025,Trufa de Maracujá,Doces,39,39,0,
02/04/2025,Trufa de Morango,Doces,37,37,0,
02/04/2025,Coxinha,Salgados,22,18,4,
03/04/2025,Bolo de Chocolate,Bolos,21,17,4,Excedente
03/04/2025,Bolo de Cenoura,Bolos,14,10,4,
03/04/2025,Bolo Red Velvet,Bolos,27,21,6,
03/04/2025,Brigadeiro,Doces,38,33,5,Validade
03/04/2025,Brigadeiro Gourmet,Doces,33,25,8,
03/04/2025,Trufa de Maracujá,Doces,18,18,0,
03/04/2025,Trufa de Morango,Doces,25,23,2,Qualidade
03/04/2025,Coxinha,Salgados,31,24,7,Excedente
04/04/2025,Bolo de Chocolate,Bolos,37,37,0,
04/04/2025,Bolo de Cenoura,Bolos,13,8,5,Validade
04/04/2025,Bolo Red Velvet,Bolos,11,6,5,Qualidade
04/04/2025,Brigadeiro,Doces,20,17,3,Excedente
04/04/2025,Brigadeiro Gourmet,Doces,22,17,5,Excedente
04/04/2025,Trufa de Maracujá,Doces,37,29,8,Qualidade
04/04/2025,Trufa de Morango,Doces,19,18,1,Excedente
04/04/2025,Coxinha,Salgados,14,12,2,Excedente
07/04/2025,Bolo de Chocolate,Bolos,30,28,2,Excedente
07/04/2025,Bolo de Cenoura,Bolos,19,18,1,Validade
07/04/2025,Bolo Red Velvet,Bolos,19,12,7,Excedente
07/04/2025,Brigadeiro,Doces,21,12,9,Excedente
07/04/2025,Brigadeiro Gourmet,Doces,31,29,2,
07/04/2025,Trufa de Maracujá,Doces,16,12,4,
07/04/2025,Trufa de Morango,Doces,11,9,2,Excedente
07/04/2025,Coxinha,Salgados,30,19,11,Validade
08/04/2025,Bolo de Chocolate,Bolos,26,16,10,
08/04/2025,Bolo de Cenoura,Bolos,30,19,11,Qualidade
08/04/2025,Bolo Red Velvet,Bolos,27,26,1,
08/04/2025,Brigadeiro,Doces,37,33,4,Excedente
08/04/2025,Brigadeiro Gourmet,Doces,20,16,4,Qualidade
08/04/2025,Trufa de Maracujá,Doces,15,13,2,Validade
08/04/2025,Trufa de Morango,Doces,31,21,10,Qualidade
08/04/2025,Coxinha,Salgados,38,26,12,Excedente
09/04/2025,Bolo de Chocolate,Bolos,12,11,1,
09/04/2025,Bolo de Cenoura,Bolos,37,36,1,Validade
09/04/2025,Bolo Red Velvet,Bolos,12,11,1,Validade
09/04/2025,Brigadeiro,Doces,37,25,12,
09/04/2025,Brigadeiro Gourmet,Doces,24,21,3,Excedente
09/04/2025,Trufa de Maracujá,Doces,40,30,10,
09/04/2025,Trufa de Morango,Doces,11,8,3,Validade
09/04/2025,Coxinha,Salgados,37,32,5,Qualidade
10/04/2025,Bolo de Chocolate,Bolos,24,15,9,Excedente
10/04/2025,Bolo de Cenoura,Bolos,17,16,1,Excedente
10/04/2025,Bolo Red Velvet,Bolos,25,19,6,Qualidade
10/04/2025,Brigadeiro,Doces,30,22,8,
10/04/2025,Brigadeiro Gourmet,Doces,22,21,1,Qualidade
10/04/2025,Trufa de Maracujá,Doces,32,27,5,
10/04/2025,Trufa de Morango,Doces,12,10,2,Validade
10/04/2025,Coxinha,Salgados,32,27,5,
11/04/2025,Bolo de Chocolate,Bolos,35,28,7,
11/04/2025,Bolo de Cenoura,Bolos,19,16,3,Validade
11/04/2025,Bolo Red Velvet,Bolos,27,20,7,Qualidade
11/04/2025,Brigadeiro,Doces,12,11,1,
11/04/2025,Brigadeiro Gourmet,Doces,30,23,7,Qualidade
11/04/2025,Trufa de Maracujá,Doces,33,20,13,
11/04/2025,Trufa de Morango,Doces,36,22,14,Validade
11/04/2025,Coxinha,Salgados,37,32,5,Qualidade
14/04/2025,Bolo de Chocolate,Bolos,31,19,12,Qualidade
14/04/2025,Bolo de Cenoura,Bolos,23,13,10,Excedente
14/04/2025,Bolo Red Velvet,Bolos,20,19,1,Excedente
14/04/2025,Brigadeiro,Doces,11,7,4,Excedente
14/04/2025,Brigadeiro Gourmet,Doces,39,33,6,Excedente
14/04/2025,Trufa de Maracujá,Doces,27,23,4,
14/04/2025,Trufa de Morango,Doces,28,21,7,Excedente
14/04/2025,Coxinha,Salgados,28,17,11,Qualidade
15/04/2025,Bolo de Chocolate,Bolos,23,21,2,Validade
15/04/2025,Bolo de Cenoura,Bolos,17,10,7,
15/04/2025,Bolo Red Velvet,Bolos,26,18,8,
15/04/2025,Brigadeiro,Doces,37,28,9,Validade
15/04/2025,Brigadeiro Gourmet,Doces,35,29,6,Qualidade
15/04/2025,Trufa de Maracujá,Doces,21,21,0,
15/04/2025,Trufa de Morango,Doces,39,32,7,Validade
15/04/2025,Coxinha,Salgados,15,14,1,Qualidade
16/04/2025,Bolo de Chocolate,Bolos,34,31,3,Excedente
16/04/2025,Bolo de Cenoura,Bolos,20,14,6,Qualidade
16/04/2025,Bolo Red Velvet,Bolos,15,15,0,
16/04/2025,Brigadeiro,Doces,21,20,1,Validade
16/04/2025,Brigadeiro Gourmet,Doces,40,29,11,Excedente
16/04/2025,Trufa de Maracujá,Doces,21,17,4,
16/04/2025,Trufa de Morango,Doces,12,7,5,
16/04/2025,Coxinha,Salgados,15,15,0,
17/04/2025,Bolo de Chocolate,Bolos,32,26,6,Excedente
17/04/2025,Bolo de Cenoura,Bolos,34,23,11,Excedente
17/04/2025,Bolo Red Velvet,Bolos,13,13,0,
17/04/2025,Brigadeiro,Doces,19,13,6,
17/04/2025,Brigadeiro Gourmet,Doces,16,11,5,
17/04/2025,Trufa de Maracujá,Doces,32,19,13,Qualidade
17/04/2025,Trufa de Morango,Doces,16,10,6,
17/04/2025,Coxinha,Salgados,18,10,8,Qualidade
18/04/2025,Bolo de Chocolate,Bolos,26,26,0,
18/04/2025,Bolo de Cenoura,Bolos,12,7,5,
18/04/2025,Bolo Red Velvet,Bolos,10,9,1,
18/04/2025,Brigadeiro,Doces,17,14,3,Excedente
18/04/2025,Brigadeiro Gourmet,Doces,16,12,4,Excedente
18/04/2025,Trufa de Maracujá,Doces,31,24,7,Validade
18/04/2025,Trufa de Morango,Doces,15,14,1,
18/04/2025,Coxinha,Salgados,40,30,10,Qualidade
21/04/2025,Bolo de Chocolate,Bolos,33,24,9,
21/04/2025,Bolo de Cenoura,Bolos,18,11,7,
21/04/2025,Bolo Red Velvet,Bolos,30,20,10,
21/04/2025,Brigadeiro,Doces,11,7,4,Excedente
21/04/2025,Brigadeiro Gourmet,Doces,14,8,6,Excedente
21/04/2025,Trufa de Maracujá,Doces,33,30,3,Validade
21/04/2025,Trufa de Morango,Doces,18,13,5,Excedente
21/04/2025,Coxinha,Salgados,37,25,12,
22/04/2025,Bolo de Chocolate,Bolos,14,13,1,Qualidade
22/04/2025,Bolo de Cenoura,Bolos,31,24,7,Excedente
22/04/2025,Bolo Red Velvet,Bolos,11,8,3,Excedente
22/04/2025,Brigadeiro,Doces,27,21,6,Qualidade
22/04/2025,Brigadeiro Gourmet,Doces,22,13,9,Qualidade
22/04/2025,Trufa de Maracujá,Doces,36,28,8,Excedente
22/04/2025,Trufa de Morango,Doces,19,18,1,Qualidade
22/04/2025,Coxinha,Salgados,38,27,11,Excedente
23/04/2025,Bolo de Chocolate,Bolos,11,8,3,Excedente
23/04/2025,Bolo de Cenoura,Bolos,35,34,1,Qualidade
23/04/2025,Bolo Red Velvet,Bolos,11,9,2,Validade
23/04/2025,Brigadeiro,Doces,40,27,13,Qualidade
23/04/2025,Brigadeiro Gourmet,Doces,29,17,12,Validade
23/04/2025,Trufa de Maracujá,Doces,18,15,3,Qualidade
23/04/2025,Trufa de Morango,Doces,25,20,5,Qualidade
23/04/2025,Coxinha,Salgados,16,13,3,Validade
24/04/2025,Bolo de Chocolate,Bolos,26,22,4,Validade
24/04/2025,Bolo de Cenoura,Bolos,34,25,9,
24/04/2025,Bolo Red Velvet,Bolos,27,26,1,Qualidade
24/04/2025,Brigadeiro,Doces,17,15,2,Excedente
24/04/2025,Brigadeiro Gourmet,Doces,40,35,5,
24/04/2025,Trufa de Maracujá,Doces,17,15,2,Validade
24/04/2025,Trufa de Morango,Doces,26,17,9,Excedente
24/04/2025,Coxinha,Salgados,38,28,10,
25/04/2025,Bolo de Chocolate,Bolos,19,19,0,
25/04/2025,Bolo de Cenoura,Bolos,35,27,8,Validade
25/04/2025,Bolo Red Velvet,Bolos,11,8,3,Excedente
25/04/2025,Brigadeiro,Doces,25,18,7,Qualidade
25/04/2025,Brigadeiro Gourmet,Doces,39,39,0,
25/04/2025,Trufa de Maracujá,Doces,10,9,1,Qualidade
25/04/2025,Trufa de Morango,Doces,22,19,3,Validade
25/04/2025,Coxinha,Salgados,28,26,2,Excedente
28/04/2025,Bolo de Chocolate,Bolos,10,8,2,Excedente
28/04/2025,Bolo de Cenoura,Bolos,24,19,5,Validade
28/04/2025,Bolo Red Velvet,Bolos,13,10,3,Excedente
28/04/2025,Brigadeiro,Doces,10,8,2,
28/04/2025,Brigadeiro Gourmet,Doces,31,31,0,
28/04/2025,Trufa de Maracujá,Doces,22,18,4,Excedente
28/04/2025,Trufa de Morango,Doces,26,24,2,Validade
28/04/2025,Coxinha,Salgados,30,24,6,Excedente
29/04/2025,Bolo de Chocolate,Bolos,27,22,5,
29/04/2025,Bolo de Cenoura,Bolos,37,26,11,Qualidade
29/04/2025,Bolo Red Velvet,Bolos,16,11,5,Excedente
29/04/2025,Brigadeiro,Doces,15,9,6,Excedente
29/04/2025,Brigadeiro Gourmet,Doces,17,10,7,Validade
29/04/2025,Trufa de Maracujá,Doces,22,16,6,Validade
29/04/2025,Trufa de Morango,Doces,28,17,11,Validade
29/04/2025,Coxinha,Salgados,36,34,2,
30/04/2025,Bolo de Chocolate,Bolos,36,24,12,Qualidade
30/04/2025,Bolo de Cenoura,Bolos,22,16,6,Excedente
30/04/2025,Bolo Red Velvet,Bolos,28,17,11,Validade
30/04/2025,Brigadeiro,Doces,37,31,6,Qualidade
30/04/2025,Brigadeiro Gourmet,Doces,36,22,14,Qualidade
30/04/2025,Trufa de Maracujá,Doces,27,22,5,Validade
30/04/2025,Trufa de Morango,Doces,14,14,0,
30/04/2025,Coxinha,Salgados,14,9,5,Qualidade
01/05/2025,Bolo de Chocolate,Bolos,27,22,5,Validade
01/05/2025,Bolo de Cenoura,Bolos,18,10,8,Qualidade
01/05/2025,Bolo Red Velvet,Bolos,30,22,8,Excedente
01/05/2025,Brigadeiro,Doces,19,13,6,Qualidade
01/05/2025,Brigadeiro Gourmet,Doces,18,12,6,Qualidade
01/05/2025,Trufa de Maracujá,Doces,19,14,5,Validade
01/05/2025,Trufa de Morango,Doces,14,9,5,Qualidade
01/05/2025,Coxinha,Salgados,34,31,3,Validade
02/05/2025,Bolo de Chocolate,Bolos,10,6,4,Validade
02/05/2025,Bolo de Cenoura,Bolos,16,11,5,
02/05/2025,Bolo Red Velvet,Bolos,26,24,2,Qualidade
02/05/2025,Brigadeiro,Doces,27,26,1,Qualidade
02/05/2025,Brigadeiro Gourmet,Doces,18,13,5,Excedente
02/05/2025,Trufa de Maracujá,Doces,11,11,0,
02/05/2025,Trufa de Morango,Doces,28,23,5,Validade
02/05/2025,Coxinha,Salgados,32,22,10,Excedente
05/05/2025,Bolo de Chocolate,Bolos,17,12,5,Excedente
05/05/2025,Bolo de Cenoura,Bolos,22,14,8,
05/05/2025,Bolo Red Velvet,Bolos,23,15,8,Excedente
05/05/2025,Brigadeiro,Doces,38,38,0,
05/05/2025,Brigadeiro Gourmet,Doces,18,16,2,
05/05/2025,Trufa de Maracujá,Doces,35,27,8,Excedente
05/05/2025,Trufa de Morango,Doces,11,10,1,
05/05/2025,Coxinha,Salgados,24,23,1,Excedente
06/05/2025,Bolo de Chocolate,Bolos,16,15,1,Validade
06/05/2025,Bolo de Cenoura,Bolos,38,30,8,Validade
06/05/2025,Bolo Red Velvet,Bolos,27,19,8,Validade
06/05/2025,Brigadeiro,Doces,30,25,5,Validade
06/05/2025,Brigadeiro Gourmet,Doces,29,17,12,
06/05/2025,Trufa de Maracujá,Doces,17,13,4,
06/05/2025,Trufa de Morango,Doces,11,7,4,
06/05/2025,Coxinha,Salgados,40,30,10,Validade
07/05/2025,Bolo de Chocolate,Bolos,33,24,9,
07/05/2025,Bolo de Cenoura,Bolos,25,17,8,
07/05/2025,Bolo Red Velvet,Bolos,12,10,2,Qualidade
07/05/2025,Brigadeiro,Doces,23,15,8,Qualidade
07/05/2025,Brigadeiro Gourmet,Doces,19,16,3,
07/05/2025,Trufa de Maracujá,Doces,32,26,6,
07/05/2025,Trufa de Morango,Doces,16,11,5,Excedente
07/05/2025,Coxinha,Salgados,16,11,5,Validade
08/05/2025,Bolo de Chocolate,Bolos,18,16,2,Qualidade
08/05/2025,Bolo de Cenoura,Bolos,29,19,10,Qualidade
08/05/2025,Bolo Red Velvet,Bolos,15,10,5,Qualidade
08/05/2025,Brigadeiro,Doces,16,10,6,Qualidade
08/05/2025,Brigadeiro Gourmet,Doces,26,20,6,Qualidade
08/05/2025,Trufa de Maracujá,Doces,33,21,12,Qualidade
08/05/2025,Trufa de Morango,Doces,20,12,8,
08/05/2025,Coxinha,Salgados,14,11,3,Validade
09/05/2025,Bolo de Chocolate,Bolos,34,29,5,Excedente
09/05/2025,Bolo de Cenoura,Bolos,39,24,15,Validade
09/05/2025,Bolo Red Velvet,Bolos,18,14,4,Validade
09/05/2025,Brigadeiro,Doces,15,11,4,Excedente
09/05/2025,Brigadeiro Gourmet,Doces,39,28,11,Qualidade
09/05/2025,Trufa de Maracujá,Doces,28,18,10,Excedente
09/05/2025,Trufa de Morango,Doces,35,26,9,
09/05/2025,Coxinha,Salgados,24,24,0,
12/05/2025,Bolo de Chocolate,Bolos,10,10,0,
12/05/2025,Bolo de Cenoura,Bolos,31,31,0,
12/05/2025,Bolo Red Velvet,Bolos,30,27,3,Qualidade
12/05/2025,Brigadeiro,Doces,28,27,1,Qualidade
12/05/2025,Brigadeiro Gourmet,Doces,38,33,5,Validade
12/05/2025,Trufa de Maracujá,Doces,18,16,2,Qualidade
12/05/2025,Trufa de Morango,Doces,32,28,4,Qualidade
12/05/2025,Coxinha,Salgados,16,16,0,
13/05/2025,Bolo de Chocolate,Bolos,18,11,7,Excedente
13/05/2025,Bolo de Cenoura,Bolos,39,29,10,Excedente
13/05/2025,Bolo Red Velvet,Bolos,27,27,0,
13/05/2025,Brigadeiro,Doces,38,29,9,Qualidade
13/05/2025,Brigadeiro Gourmet,Doces,32,27,5,
13/05/2025,Trufa de Maracujá,Doces,26,25,1,Excedente
13/05/2025,Trufa de Morango,Doces,35,30,5,Validade
13/05/2025,Coxinha,Salgados,33,33,0,
14/05/2025,Bolo de Chocolate,Bolos,35,35,0,
14/05/2025,Bolo de Cenoura,Bolos,29,17,12,Excedente
14/05/2025,Bolo Red Velvet,Bolos,17,10,7,Excedente
14/05/2025,Brigadeiro,Doces,20,20,0,
14/05/2025,Brigadeiro Gourmet,Doces,25,20,5,Excedente
14/05/2025,Trufa de Maracujá,Doces,11,10,1,Qualidade
14/05/2025,Trufa de Morango,Doces,21,19,2,Qualidade
14/05/2025,Coxinha,Salgados,17,12,5,Qualidade
15/05/2025,Bolo de Chocolate,Bolos,10,6,4,
15/05/2025,Bolo de Cenoura,Bolos,10,10,0,
15/05/2025,Bolo Red Velvet,Bolos,23,14,9,
15/05/2025,Brigadeiro,Doces,29,21,8,Excedente
15/05/2025,Brigadeiro Gourmet,Doces,22,20,2,Excedente
15/05/2025,Trufa de Maracujá,Doces,24,24,0,
15/05/2025,Trufa de Morango,Doces,34,25,9,Qualidade
15/05/2025,Coxinha,Salgados,33,28,5,Validade
16/05/2025,Bolo de Chocolate,Bolos,18,18,0,
16/05/2025,Bolo de Cenoura,Bolos,17,15,2,
16/05/2025,Bolo Red Velvet,Bolos,37,33,4,Validade
16/05/2025,Brigadeiro,Doces,27,26,1,
16/05/2025,Brigadeiro Gourmet,Doces,28,18,10,Qualidade
16/05/2025,Trufa de Maracujá,Doces,24,24,0,
16/05/2025,Trufa de Morango,Doces,10,7,3,Excedente
16/05/2025,Coxinha,Salgados,36,25,11,Excedente
19/05/2025,Bolo de Chocolate,Bolos,35,33,2,Excedente
19/05/2025,Bolo de Cenoura,Bolos,38,25,13,Validade
19/05/2025,Bolo Red Velvet,Bolos,33,29,4,Validade
19/05/2025,Brigadeiro,Doces,38,33,5,Excedente
19/05/2025,Brigadeiro Gourmet,Doces,33,25,8,Qualidade
19/05/2025,Trufa de Maracujá,Doces,30,22,8,Validade
19/05/2025,Trufa de Morango,Doces,14,11,3,
19/05/2025,Coxinha,Salgados,24,20,4,Validade
20/05/2025,Bolo de Chocolate,Bolos,35,31,4,Excedente
20/05/2025,Bolo de Cenoura,Bolos,40,25,15,Excedente
20/05/2025,Bolo Red Velvet,Bolos,28,22,6,Excedente
20/05/2025,Brigadeiro,Doces,25,15,10,Qualidade
20/05/2025,Brigadeiro Gourmet,Doces,16,15,1,Excedente
20/05/2025,Trufa de Maracujá,Doces,15,15,0,
20/05/2025,Trufa de Morango,Doces,19,16,3,Qualidade
20/05/2025,Coxinha,Salgados,32,21,11,Validade
21/05/2025,Bolo de Chocolate,Bolos,23,18,5,Excedente
21/05/2025,Bolo de Cenoura,Bolos,37,29,8,Qualidade
21/05/2025,Bolo Red Velvet,Bolos,23,23,0,
21/05/2025,Brigadeiro,Doces,12,9,3,Qualidade
21/05/2025,Brigadeiro Gourmet,Doces,19,11,8,Qualidade
21/05/2025,Trufa de Maracujá,Doces,25,16,9,Excedente
21/05/2025,Trufa de Morango,Doces,14,14,0,
21/05/2025,Coxinha,Salgados,32,23,9,Qualidade
22/05/2025,Bolo de Chocolate,Bolos,35,22,13,Validade
22/05/2025,Bolo de Cenoura,Bolos,29,18,11,Excedente
22/05/2025,Bolo Red Velvet,Bolos,31,31,0,
22/05/2025,Brigadeiro,Doces,39,36,3,Qualidade
22/05/2025,Brigadeiro Gourmet,Doces,30,18,12,Excedente
22/05/2025,Trufa de Maracujá,Doces,17,11,6,Qualidade
22/05/2025,Trufa de Morango,Doces,15,11,4,Qualidade
22/05/2025,Coxinha,Salgados,33,32,1,
23/05/2025,Bolo de Chocolate,Bolos,18,17,1,Excedente
23/05/2025,Bolo de Cenoura,Bolos,24,22,2,
23/05/2025,Bolo Red Velvet,Bolos,11,9,2,
23/05/2025,Brigadeiro,Doces,30,28,2,
23/05/2025,Brigadeiro Gourmet,Doces,19,15,4,Qualidade
23/05/2025,Trufa de Maracujá,Doces,26,21,5,Qualidade
23/05/2025,Trufa de Morango,Doces,11,9,2,Validade
23/05/2025,Coxinha,Salgados,24,22,2,Validade
26/05/2025,Bolo de Chocolate,Bolos,33,19,14,Validade
26/05/2025,Bolo de Cenoura,Bolos,33,19,14,Validade
26/05/2025,Bolo Red Velvet,Bolos,14,10,4,Excedente
26/05/2025,Brigadeiro,Doces,26,15,11,Excedente
26/05/2025,Brigadeiro Gourmet,Doces,22,22,0,
26/05/2025,Trufa de Maracujá,Doces,30,22,8,Qualidade
26/05/2025,Trufa de Morango,Doces,13,7,6,
26/05/2025,Coxinha,Salgados,19,11,8,Validade
27/05/2025,Bolo de Chocolate,Bolos,18,14,4,Validade
27/05/2025,Bolo de Cenoura,Bolos,36,22,14,Validade
27/05/2025,Bolo Red Velvet,Bolos,24,16,8,Qualidade
27/05/2025,Brigadeiro,Doces,32,20,12,Excedente
27/05/2025,Brigadeiro Gourmet,Doces,39,28,11,Validade
27/05/2025,Trufa de Maracujá,Doces,19,14,5,Validade
27/05/2025,Trufa de Morango,Doces,32,25,7,Excedente
27/05/2025,Coxinha,Salgados,11,8,3,Validade
28/05/2025,Bolo de Chocolate,Bolos,14,8,6,Validade
28/05/2025,Bolo de Cenoura,Bolos,24,14,10,Excedente
28/05/2025,Bolo Red Velvet,Bolos,31,21,10,Validade
28/05/2025,Brigadeiro,Doces,10,8,2,Excedente
28/05/2025,Brigadeiro Gourmet,Doces,35,21,14,Qualidade
28/05/2025,Trufa de Maracujá,Doces,12,9,3,
28/05/2025,Trufa de Morango,Doces,27,21,6,Validade
28/05/2025,Coxinha,Salgados,22,19,3,Validade
29/05/2025,Bolo de Chocolate,Bolos,34,26,8,
29/05/2025,Bolo de Cenoura,Bolos,40,35,5,Validade
29/05/2025,Bolo Red Velvet,Bolos,18,11,7,Excedente
29/05/2025,Brigadeiro,Doces,26,18,8,Excedente
29/05/2025,Brigadeiro Gourmet,Doces,39,25,14,Excedente
29/05/2025,Trufa de Maracujá,Doces,22,13,9,Excedente
29/05/2025,Trufa de Morango,Doces,13,9,4,Qualidade
29/05/2025,Coxinha,Salgados,39,37,2,
30/05/2025,Bolo de Chocolate,Bolos,11,11,0,
30/05/2025,Bolo de Cenoura,Bolos,14,8,6,Excedente
30/05/2025,Bolo Red Velvet,Bolos,34,23,11,
30/05/2025,Brigadeiro,Doces,13,7,6,Excedente
30/05/2025,Brigadeiro Gourmet,Doces,13,7,6,Validade
30/05/2025,Trufa de Maracujá,Doces,39,36,3,Qualidade
30/05/2025,Trufa de Morango,Doces,37,37,0,
30/05/2025,Coxinha,Salgados,37,25,12,Excedente
02/06/2025,Bolo de Chocolate,Bolos,16,14,2,Qualidade
02/06/2025,Bolo de Cenoura,Bolos,18,11,7,Validade
02/06/2025,Bolo Red Velvet,Bolos,22,14,8,
02/06/2025,Brigadeiro,Doces,40,34,6,Validade
02/06/2025,Brigadeiro Gourmet,Doces,30,22,8,
02/06/2025,Trufa de Maracujá,Doces,15,11,4,Excedente
02/06/2025,Trufa de Morango,Doces,16,10,6,Validade
02/06/2025,Coxinha,Salgados,25,18,7,
03/06/2025,Bolo de Chocolate,Bolos,38,24,14,Qualidade
03/06/2025,Bolo de Cenoura,Bolos,14,8,6,
03/06/2025,Bolo Red Velvet,Bolos,14,10,4,Validade
03/06/2025,Brigadeiro,Doces,27,26,1,Excedente
03/06/2025,Brigadeiro Gourmet,Doces,20,14,6,Excedente
03/06/2025,Trufa de Maracujá,Doces,39,23,16,
03/06/2025,Trufa de Morango,Doces,33,31,2,Validade
03/06/2025,Coxinha,Salgados,33,28,5,
04/06/2025,Bolo de Chocolate,Bolos,31,27,4,Qualidade
04/06/2025,Bolo de Cenoura,Bolos,20,15,5,Qualidade
04/06/2025,Bolo Red Velvet,Bolos,23,13,10,Validade
04/06/2025,Brigadeiro,Doces,31,18,13,Qualidade
04/06/2025,Brigadeiro Gourmet,Doces,35,22,13,Validade
04/06/2025,Trufa de Maracujá,Doces,40,32,8,Validade
04/06/2025,Trufa de Morango,Doces,10,10,0,
04/06/2025,Coxinha,Salgados,29,27,2,Validade
05/06/2025,Bolo de Chocolate,Bolos,15,15,0,
05/06/2025,Bolo de Cenoura,Bolos,33,32,1,
